id,title,description,category,subcategory,subsubcategory
1704,Determine if String Halves Are Alike,"You are given a string s of even length. Split this string into two halves of equal lengths, and let a be the first half and b be the second half.Two strings are alike if they have the same number of vowels (&#39;a&#39;, &#39;e&#39;, &#39;i&#39;, &#39;o&#39;, &#39;u&#39;, &#39;A&#39;, &#39;E&#39;, &#39;I&#39;, &#39;O&#39;, &#39;U&#39;). Notice that s contains uppercase and lowercase letters.Return true if a and b are alike. Otherwise, return false. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1705,Maximum Number of Eaten Apples,"There is a special kind of apple tree that grows apples every day for n days. On the ith day, the tree grows apples[i] apples that will rot after days[i] days, that is on day i + days[i] the apples will be rotten and cannot be eaten. On some days, the apple tree does not grow any apples, which are denoted by apples[i] == 0 and days[i] == 0.You decided to eat at most one apple a day (to keep the doctors away). Note that you can keep eating after the first n days.Given two integer arrays days and apples of length n, return the maximum number of apples you can eat. ",Greedy Algorithms,Optimization Problems,Minimum coins
1707,Maximum XOR With an Element From Array,"You are given an array nums consisting of non-negative integers. You are also given a queries array, where queries[i] = [xi, mi].The answer to the ith query is the maximum bitwise XOR value of xi and any element of nums that does not exceed mi. In other words, the answer is max(nums[j] XOR xi) for all j such that nums[j] i. If all elements in nums are larger than mi, then the answer is -1.Return an integer array answer where answer.length == queries.length and answer[i] is the answer to the ith query. ",Bit Manipulation,Bitwise Techniques,Finding Single Numbers
1708,Largest Subarray Length K,,Arrays & Strings,Basic Manipulation,Sliding Window
1709,Biggest Window Between Visits,,Arrays & Strings,Basic Manipulation,Sliding Window
1710,Maximum Units on a Truck,"You are assigned to put some amount of boxes onto one truck. You are given a 2D array boxTypes, where boxTypes[i] = [numberOfBoxesi, numberOfUnitsPerBoxi]:	numberOfBoxesi is the number of boxes of type i.	numberOfUnitsPerBoxi is the number of units in each box of the type i.You are also given an integer truckSize, which is the maximum number of boxes that can be put on the truck. You can choose any boxes to put on the truck as long as the number of boxes does not exceed truckSize.Return the maximum total number of units that can be put on the truck. ",Greedy Algorithms,Optimization Problems,Fractional Knapsack
1711,Count Good Meals,"A good meal is a meal that contains exactly two different food items with a sum of deliciousness equal to a power of two.You can pick any two different foods to make a good meal.Given an array of integers deliciousness where deliciousness[i] is the deliciousness of the i​​​​​​th​​​​​​​​ item of food, return the number of different good meals you can make from this list modulo 109 + 7.Note that items with different indices are considered different even if they have the same deliciousness value. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1713,Minimum Operations to Make a Subsequence,"You are given an array target that consists of distinct integers and another integer array arr that can have duplicates.In one operation, you can insert any integer at any position in arr. For example, if arr = [1,4,1,2], you can add 3 in the middle and make it [1,4,3,1,2]. Note that you can insert the integer at the very beginning or end of the array.Return the minimum number of operations needed to make target a subsequence of arr.A subsequence of an array is a new array generated from the original array by deleting some elements (possibly none) without changing the remaining elements&#39; relative order. For example, [2,7,4] is a subsequence of [4,2,3,7,2,1,4] (the underlined elements), while [2,4,2] is not. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
1714,Sum Of Special Evenly-Spaced Elements In Array,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1715,Count Apples and Oranges,,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1716,Calculate Money in Leetcode Bank,"Hercy wants to save money for his first car. He puts money in the Leetcode bank every day.He starts by putting in $1 on Monday, the first day. Every day from Tuesday to Sunday, he will put in $1 more than the day before. On every subsequent Monday, he will put in $1 more than the previous Monday. Given n, return the total amount of money he will have in the Leetcode bank at the end of the nth day. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
1717,Maximum Score From Removing Substrings,"You are given a string s and two integers x and y. You can perform two types of operations any number of times.	Remove substring &quot;ab&quot; and gain x points.			For example, when removing &quot;ab&quot; from &quot;cabxbae&quot; it becomes &quot;cxbae&quot;.			Remove substring &quot;ba&quot; and gain y points.			For example, when removing &quot;ba&quot; from &quot;cabxbae&quot; it becomes &quot;cabxe&quot;.		Return the maximum points you can gain after applying the above operations on s. ",Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
1718,Construct the Lexicographically Largest Valid Sequence,"Given an integer n, find a sequence with elements in the range [1, n] that satisfies all of the following:	The integer 1 occurs once in the sequence.	Each integer between 2 and n occurs twice in the sequence.	For every integer i between 2 and n, the distance between the two occurrences of i is exactly i.The distance between two numbers on the sequence, a[i] and a[j], is the absolute difference of their indices, |j - i|.Return the lexicographically largest sequence. It is guaranteed that under the given constraints, there is always a solution. A sequence a is lexicographically larger than a sequence b (of the same length) if in the first position where a and b differ, sequence a has a number greater than the corresponding number in b. For example, [0,1,9,0] is lexicographically larger than [0,1,5,6] because the first position they differ is at the third number, and 9 is greater than 5. ",Backtracking,Constraint Satisfaction,Word Search
